https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1608422400000,2020-12-20 00:00:00,BTT/USDT,0.00033990,0.00034580,0.00033000,0.00033660,13055267118.00000000,4414850.10862700,14327
1608336000000,2020-12-19 00:00:00,BTT/USDT,0.00033200,0.00034110,0.00032950,0.00033980,10584309888.00000000,3568753.46717020,11154
1608249600000,2020-12-18 00:00:00,BTT/USDT,0.00032750,0.00033530,0.00032320,0.00033200,11845431543.00000000,3904188.90796720,12806
1608163200000,2020-12-17 00:00:00,BTT/USDT,0.00034040,0.00034230,0.00032630,0.00032740,14781658165.00000000,4948288.77264930,16940
1608076800000,2020-12-16 00:00:00,BTT/USDT,0.00032390,0.00034100,0.00032100,0.00034040,11535472288.00000000,3795035.24480520,13224
1607990400000,2020-12-15 00:00:00,BTT/USDT,0.00033420,0.00033520,0.00032270,0.00032380,9686884108.00000000,3177271.22904130,9768
1607904000000,2020-12-14 00:00:00,BTT/USDT,0.00031990,0.00034050,0.00031450,0.00033410,12329295553.00000000,4038607.62103580,14533
1607817600000,2020-12-13 00:00:00,BTT/USDT,0.00031600,0.00032470,0.00031580,0.00032000,8552525557.00000000,2736214.95105240,9564
1607731200000,2020-12-12 00:00:00,BTT/USDT,0.00030540,0.00032000,0.00030510,0.00031600,9704127668.00000000,3040180.38235150,10099
1607644800000,2020-12-11 00:00:00,BTT/USDT,0.00031360,0.00031370,0.00030270,0.00030550,10320299220.00000000,3174889.22415690,11509
1607558400000,2020-12-10 00:00:00,BTT/USDT,0.00032660,0.00032660,0.00031100,0.00031310,9674187904.00000000,3056595.02191770,9911
1607472000000,2020-12-09 00:00:00,BTT/USDT,0.00032120,0.00032810,0.00030700,0.00032590,11039249427.00000000,3529957.49923330,13414
1607385600000,2020-12-08 00:00:00,BTT/USDT,0.00033230,0.00033620,0.00031580,0.00032120,9877047512.00000000,3243191.41881840,11731
1607299200000,2020-12-07 00:00:00,BTT/USDT,0.00034540,0.00034580,0.00033050,0.00033230,8555455013.00000000,2898432.58512520,9545
1607212800000,2020-12-06 00:00:00,BTT/USDT,0.00034320,0.00035010,0.00033500,0.00034500,8399691844.00000000,2884350.02506780,15185
1607126400000,2020-12-05 00:00:00,BTT/USDT,0.00032400,0.00035030,0.00032120,0.00034340,9493719517.00000000,3195259.41972060,16795
1607040000000,2020-12-04 00:00:00,BTT/USDT,0.00034370,0.00034480,0.00032130,0.00032400,11740064519.00000000,3925252.68003960,19050
1606953600000,2020-12-03 00:00:00,BTT/USDT,0.00034580,0.00034700,0.00033740,0.00034400,6427406389.00000000,2206094.29157930,13513
1606867200000,2020-12-02 00:00:00,BTT/USDT,0.00034110,0.00035170,0.00033580,0.00034540,8036945433.00000000,2769685.49497440,15347
