https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1609286400000,2020-12-30 00:00:00,DASH/USDT,103.94000000,105.65000000,98.87000000,101.89000000,132451.98504000,13506467.84108770,35353
1609200000000,2020-12-29 00:00:00,DASH/USDT,107.13000000,108.81000000,99.08000000,103.93000000,199864.39635000,20623556.76835980,47624
1609113600000,2020-12-28 00:00:00,DASH/USDT,107.37000000,111.00000000,104.24000000,107.11000000,237228.86887000,25606426.12642610,61343
1609027200000,2020-12-27 00:00:00,DASH/USDT,108.03000000,113.26000000,101.00000000,107.48000000,247963.75989000,26669496.59455880,65143
1608940800000,2020-12-26 00:00:00,DASH/USDT,103.07000000,112.71000000,102.03000000,107.99000000,198907.56298000,21252854.54416050,59563
1608854400000,2020-12-25 00:00:00,DASH/USDT,98.60000000,105.20000000,95.81000000,103.12000000,154640.06263000,15683752.38243020,45164
1608768000000,2020-12-24 00:00:00,DASH/USDT,91.44000000,99.61000000,87.59000000,98.54000000,103526.96571000,9571377.17897450,29095
1608681600000,2020-12-23 00:00:00,DASH/USDT,105.72000000,106.30000000,86.99000000,91.40000000,147463.04826000,14417872.62684020,41733
1608595200000,2020-12-22 00:00:00,DASH/USDT,103.90000000,106.50000000,96.00000000,105.76000000,181724.07237000,18615868.88960790,46747
1608508800000,2020-12-21 00:00:00,DASH/USDT,109.50000000,119.53000000,101.35000000,103.90000000,231652.66367000,25457105.11560330,65755
1608422400000,2020-12-20 00:00:00,DASH/USDT,108.27000000,114.40000000,104.28000000,109.56000000,165526.30142000,18238913.44674020,47134
1608336000000,2020-12-19 00:00:00,DASH/USDT,108.07000000,112.45000000,105.51000000,108.27000000,107856.32489000,11688559.67931380,31855
1608249600000,2020-12-18 00:00:00,DASH/USDT,108.25000000,114.09000000,103.90000000,108.05000000,199030.83278000,21557379.94859090,45382
1608163200000,2020-12-17 00:00:00,DASH/USDT,105.34000000,115.89000000,101.09000000,108.22000000,250222.57358000,26926467.49470290,65018
1608076800000,2020-12-16 00:00:00,DASH/USDT,96.96000000,105.49000000,94.50000000,105.39000000,139261.16521000,13985611.40091740,36905
1607990400000,2020-12-15 00:00:00,DASH/USDT,96.71000000,97.56000000,94.04000000,96.96000000,54839.65058000,5267138.01248590,14573
1607904000000,2020-12-14 00:00:00,DASH/USDT,97.61000000,97.70000000,94.21000000,96.69000000,73015.99054000,7008135.03483180,17463
1607817600000,2020-12-13 00:00:00,DASH/USDT,94.69000000,99.36000000,93.64000000,97.61000000,74418.65429000,7231355.33164570,20721
1607731200000,2020-12-12 00:00:00,DASH/USDT,93.18000000,97.34000000,92.88000000,94.74000000,92254.53543000,8810229.54234540,22727
1607644800000,2020-12-11 00:00:00,DASH/USDT,92.99000000,95.17000000,87.80000000,93.25000000,136474.68890000,12569418.01380820,31203
