https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1610582400000,2021-01-14 00:00:00,XMR/USDT,171.20000000,171.87000000,160.61000000,163.81000000,139646.04048000,23244616.87206210,52233
1610496000000,2021-01-13 00:00:00,XMR/USDT,159.16000000,173.26000000,152.29000000,171.55000000,161045.00438000,26209628.63745930,59293
1610409600000,2021-01-12 00:00:00,XMR/USDT,157.94000000,174.24000000,153.69000000,159.09000000,286848.82637000,47049722.18183560,97864
1610323200000,2021-01-11 00:00:00,XMR/USDT,185.03000000,186.42000000,142.00000000,157.96000000,671936.26396000,106503319.24526500,217074
1610236800000,2021-01-10 00:00:00,XMR/USDT,147.36000000,190.00000000,147.36000000,184.89000000,516930.37464000,85126930.52490300,169027
1610150400000,2021-01-09 00:00:00,XMR/USDT,142.13000000,149.05000000,139.07000000,147.40000000,146593.42187000,21200571.51509190,48166
1610064000000,2021-01-08 00:00:00,XMR/USDT,142.95000000,150.28000000,135.37000000,142.11000000,220252.53289000,31515933.46682680,75296
1609977600000,2021-01-07 00:00:00,XMR/USDT,142.37000000,153.10000000,139.30000000,142.90000000,270122.85833000,39432081.68664270,88369
1609891200000,2021-01-06 00:00:00,XMR/USDT,136.00000000,142.37000000,132.53000000,142.31000000,152929.80342000,20977699.59361120,54649
1609804800000,2021-01-05 00:00:00,XMR/USDT,133.76000000,139.60000000,129.04000000,136.00000000,176543.99308000,23522559.89208920,65469
1609718400000,2021-01-04 00:00:00,XMR/USDT,138.24000000,143.90000000,128.72000000,133.79000000,222339.61750000,30472017.58878510,80916
1609632000000,2021-01-03 00:00:00,XMR/USDT,143.52000000,145.08000000,131.00000000,138.26000000,231236.74832000,31853549.68283160,73326
1609545600000,2021-01-02 00:00:00,XMR/USDT,135.73000000,145.56000000,128.32000000,143.52000000,378478.37786000,51728853.89394040,124133
1609459200000,2021-01-01 00:00:00,XMR/USDT,156.20000000,169.09000000,130.23000000,135.81000000,361562.69100000,52710191.07952970,145031
1609372800000,2020-12-31 00:00:00,XMR/USDT,159.55000000,161.66000000,155.36000000,156.22000000,69130.22602000,10931913.42939910,32011
1609286400000,2020-12-30 00:00:00,XMR/USDT,161.54000000,164.26000000,157.50000000,159.55000000,83783.64252000,13450076.23575000,43812
1609200000000,2020-12-29 00:00:00,XMR/USDT,166.47000000,167.48000000,155.00000000,161.54000000,94332.08499000,15136517.51691650,45913
1609113600000,2020-12-28 00:00:00,XMR/USDT,156.99000000,168.60000000,156.35000000,166.64000000,83798.08903000,13704756.15440310,41372
1609027200000,2020-12-27 00:00:00,XMR/USDT,168.24000000,171.32000000,155.90000000,156.99000000,148301.77178000,24288857.93179820,64517
1608940800000,2020-12-26 00:00:00,XMR/USDT,159.21000000,168.34000000,158.79000000,168.21000000,115049.58171000,18896838.26856780,51724
1608854400000,2020-12-25 00:00:00,XMR/USDT,156.72000000,161.00000000,152.44000000,159.14000000,92747.62363000,14522626.12339240,39838
1608768000000,2020-12-24 00:00:00,XMR/USDT,150.73000000,158.79000000,146.35000000,156.86000000,127817.97842000,19463806.54741650,52825
1608681600000,2020-12-23 00:00:00,XMR/USDT,156.57000000,169.04000000,147.93000000,150.92000000,242140.81770000,38841287.40689100,93465
1608595200000,2020-12-22 00:00:00,XMR/USDT,145.66000000,157.53000000,143.75000000,156.56000000,88144.81008000,13285964.00171370,41041
1608508800000,2020-12-21 00:00:00,XMR/USDT,152.27000000,153.67000000,142.64000000,145.66000000,72514.00597000,10717874.25173860,33402
1608422400000,2020-12-20 00:00:00,XMR/USDT,154.58000000,156.96000000,151.00000000,152.42000000,69065.04122000,10632441.86651420,29830
1608336000000,2020-12-19 00:00:00,XMR/USDT,154.61000000,158.76000000,153.70000000,154.60000000,69815.64370000,10898314.69518660,27401
1608249600000,2020-12-18 00:00:00,XMR/USDT,160.39000000,160.48000000,153.06000000,154.44000000,94632.13838000,14805546.55242630,32978
1608163200000,2020-12-17 00:00:00,XMR/USDT,158.81000000,163.95000000,153.80000000,160.42000000,193932.29184000,30717081.78549040,67277
1608076800000,2020-12-16 00:00:00,XMR/USDT,150.50000000,159.29000000,147.33000000,158.93000000,143545.97912000,21927106.80090050,49821
1607990400000,2020-12-15 00:00:00,XMR/USDT,152.53000000,155.61000000,150.44000000,150.50000000,92104.87520000,14100900.41145830,32080
1607904000000,2020-12-14 00:00:00,XMR/USDT,152.01000000,157.65000000,150.49000000,152.52000000,171876.95912000,26456575.38738880,57294
1607817600000,2020-12-13 00:00:00,XMR/USDT,146.75000000,152.40000000,143.81000000,152.12000000,107916.24720000,15945871.69765800,43240
1607731200000,2020-12-12 00:00:00,XMR/USDT,141.43000000,150.00000000,141.02000000,146.82000000,199705.27348000,29064046.85331670,69190
1607644800000,2020-12-11 00:00:00,XMR/USDT,133.70000000,142.25000000,130.00000000,141.43000000,130284.06743000,17570224.28105430,47133
1607558400000,2020-12-10 00:00:00,XMR/USDT,132.45000000,135.06000000,129.30000000,133.60000000,76095.94348000,10072584.37924530,28950
1607472000000,2020-12-09 00:00:00,XMR/USDT,135.80000000,136.01000000,127.00000000,132.46000000,99010.87271000,13043620.59946290,37609
1607385600000,2020-12-08 00:00:00,XMR/USDT,138.61000000,143.26000000,132.68000000,135.87000000,117089.96113000,16120807.23219550,49724
1607299200000,2020-12-07 00:00:00,XMR/USDT,134.37000000,144.11000000,133.93000000,138.61000000,177805.88755000,24813247.28216470,60416
1607212800000,2020-12-06 00:00:00,XMR/USDT,133.47000000,134.71000000,128.20000000,134.33000000,76285.14568000,10034477.13990250,28246
1607126400000,2020-12-05 00:00:00,XMR/USDT,126.57000000,133.91000000,124.26000000,133.49000000,61239.57256000,7941154.46606920,25412
1607040000000,2020-12-04 00:00:00,XMR/USDT,133.39000000,135.65000000,126.35000000,126.57000000,106738.55076000,14090550.22760700,42841
1606953600000,2020-12-03 00:00:00,XMR/USDT,127.82000000,133.72000000,126.41000000,133.54000000,72157.98175000,9356886.34011570,31985
1606867200000,2020-12-02 00:00:00,XMR/USDT,125.79000000,129.27000000,123.70000000,127.92000000,80009.02266000,10181080.22758360,35429
1606780800000,2020-12-01 00:00:00,XMR/USDT,130.65000000,132.72000000,120.50000000,125.79000000,129097.47739000,16436755.08628340,61750
1606694400000,2020-11-30 00:00:00,XMR/USDT,123.97000000,130.77000000,121.50000000,130.65000000,92935.77272000,11698665.76347140,41882
