https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1608768000000,2020-12-24 00:00:00,XLM/USDT,0.12679000,0.16681000,0.12280000,0.15818000,995304326.50000000,143768082.68410100,318907
1608681600000,2020-12-23 00:00:00,XLM/USDT,0.16201000,0.16201000,0.11056000,0.12661000,925492965.80000000,129215223.27069400,278008
1608595200000,2020-12-22 00:00:00,XLM/USDT,0.16522000,0.16980000,0.15302000,0.16212000,282150275.90000000,45697633.81345800,107365
1608508800000,2020-12-21 00:00:00,XLM/USDT,0.17658000,0.18032000,0.15980000,0.16519000,185129011.00000000,31329155.05506600,78265
1608422400000,2020-12-20 00:00:00,XLM/USDT,0.18152000,0.18271000,0.17366000,0.17666000,158184778.90000000,28290237.03674800,67992
1608336000000,2020-12-19 00:00:00,XLM/USDT,0.18528000,0.18797000,0.17926000,0.18139000,205652100.10000000,37833244.84075400,81215
1608249600000,2020-12-18 00:00:00,XLM/USDT,0.18610000,0.18990000,0.17681000,0.18525000,358406658.00000000,65807957.37219300,125905
1608163200000,2020-12-17 00:00:00,XLM/USDT,0.19321000,0.20878000,0.17920000,0.18612000,801478603.00000000,153516460.22313100,281009
1608076800000,2020-12-16 00:00:00,XLM/USDT,0.16614000,0.19500000,0.15928000,0.19321000,521143332.40000000,91298957.79762500,176468
1607990400000,2020-12-15 00:00:00,XLM/USDT,0.17020000,0.17681000,0.16443000,0.16610000,207684188.40000000,35368073.97014100,82853
1607904000000,2020-12-14 00:00:00,XLM/USDT,0.17615000,0.17863000,0.16667000,0.17020000,285784967.10000000,49047843.13662100,139832
1607817600000,2020-12-13 00:00:00,XLM/USDT,0.15878000,0.18000000,0.15549000,0.17610000,395883889.70000000,67653166.51677400,147652
1607731200000,2020-12-12 00:00:00,XLM/USDT,0.15084000,0.16500000,0.14954000,0.15888000,265788705.90000000,42113471.45545300,91083
1607644800000,2020-12-11 00:00:00,XLM/USDT,0.16080000,0.16450000,0.15000000,0.15077000,367010398.20000000,58064790.13581300,115710
1607558400000,2020-12-10 00:00:00,XLM/USDT,0.17201000,0.17780000,0.16015000,0.16073000,454403050.10000000,77113683.38856700,198749
1607472000000,2020-12-09 00:00:00,XLM/USDT,0.15259000,0.17520000,0.13921000,0.17206000,550735915.00000000,87013292.54013000,170595
1607385600000,2020-12-08 00:00:00,XLM/USDT,0.16814000,0.16862000,0.14899000,0.15263000,223878904.60000000,35650145.83962100,76016
1607299200000,2020-12-07 00:00:00,XLM/USDT,0.17599000,0.17649000,0.16437000,0.16804000,148268193.80000000,25264875.38825700,49594
1607212800000,2020-12-06 00:00:00,XLM/USDT,0.17162000,0.18020000,0.16704000,0.17593000,183432558.20000000,31876620.64136800,64857
1607126400000,2020-12-05 00:00:00,XLM/USDT,0.16152000,0.17636000,0.15914000,0.17170000,197166466.00000000,33329107.32620000,72645
1607040000000,2020-12-04 00:00:00,XLM/USDT,0.18421000,0.18870000,0.15930000,0.16154000,288862137.40000000,50619679.45602500,122797
1606953600000,2020-12-03 00:00:00,XLM/USDT,0.18518000,0.18980000,0.17959000,0.18436000,220981352.50000000,40679011.96595100,72237
1606867200000,2020-12-02 00:00:00,XLM/USDT,0.18361000,0.18834000,0.17721000,0.18514000,319272954.60000000,58612625.51687200,98223
1606780800000,2020-12-01 00:00:00,XLM/USDT,0.20283000,0.20455000,0.17300000,0.18382000,512387400.00000000,98353087.74977500,171999
1606694400000,2020-11-30 00:00:00,XLM/USDT,0.19434000,0.20664000,0.18846000,0.20295000,554404358.60000000,110284674.12345600,190664
1606608000000,2020-11-29 00:00:00,XLM/USDT,0.20009000,0.20311000,0.18794000,0.19423000,484997452.50000000,94514770.63027300,163457
1606521600000,2020-11-28 00:00:00,XLM/USDT,0.20698000,0.22061000,0.19511000,0.20021000,1088414795.60000000,226242547.18002500,400167
1606435200000,2020-11-27 00:00:00,XLM/USDT,0.16829000,0.20730000,0.16263000,0.20699000,1235747469.30000000,229702324.31362900,437220
1606348800000,2020-11-26 00:00:00,XLM/USDT,0.19272000,0.20497000,0.14500000,0.16835000,1759847344.50000000,296665401.43725900,533598
1606262400000,2020-11-25 00:00:00,XLM/USDT,0.19569000,0.23179000,0.18155000,0.19295000,1956022527.40000000,403830693.67651100,649542
1606176000000,2020-11-24 00:00:00,XLM/USDT,0.13228000,0.19900000,0.13036000,0.19571000,2236398952.00000000,380722325.27884200,728287
1606089600000,2020-11-23 00:00:00,XLM/USDT,0.10428000,0.13270000,0.10130000,0.13231000,715721251.90000000,81476281.02786400,197254
1606003200000,2020-11-22 00:00:00,XLM/USDT,0.10899000,0.11488000,0.09619000,0.10426000,643370460.20000000,67500711.66562500,163202
1605916800000,2020-11-21 00:00:00,XLM/USDT,0.08859000,0.11016000,0.08849000,0.10900000,585471557.30000000,58239499.56445700,150722
1605830400000,2020-11-20 00:00:00,XLM/USDT,0.08403000,0.08868000,0.08372000,0.08853000,116724255.60000000,10037708.84195600,31813
1605744000000,2020-11-19 00:00:00,XLM/USDT,0.08369000,0.08638000,0.08144000,0.08401000,98312309.70000000,8246526.92292100,32345
1605657600000,2020-11-18 00:00:00,XLM/USDT,0.08647000,0.08701000,0.08167000,0.08365000,132766680.40000000,11179521.55439200,44586
1605571200000,2020-11-17 00:00:00,XLM/USDT,0.08251000,0.08858000,0.08233000,0.08650000,171378322.60000000,14657048.25195400,54313
