https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1609027200000,2020-12-27 00:00:00,ZEC/USDT,66.60000000,71.66000000,62.80000000,66.97000000,358971.73556000,24121186.91796630,68969
1608940800000,2020-12-26 00:00:00,ZEC/USDT,64.29000000,70.27000000,63.52000000,66.56000000,285733.55040000,18990338.79136010,52149
1608854400000,2020-12-25 00:00:00,ZEC/USDT,62.11000000,65.20000000,60.38000000,64.27000000,280321.59028000,17723551.24207970,50174
1608768000000,2020-12-24 00:00:00,ZEC/USDT,55.41000000,62.28000000,53.95000000,62.10000000,336398.21096000,19342790.91135540,57867
1608681600000,2020-12-23 00:00:00,ZEC/USDT,67.62000000,68.58000000,46.98000000,55.42000000,462141.95194000,27958458.13936620,76376
1608595200000,2020-12-22 00:00:00,ZEC/USDT,67.75000000,69.08000000,63.44000000,67.64000000,268453.72469000,17894313.91010760,47502
1608508800000,2020-12-21 00:00:00,ZEC/USDT,73.72000000,77.74000000,67.55000000,67.77000000,293627.70233000,21210841.60572300,58644
1608422400000,2020-12-20 00:00:00,ZEC/USDT,73.54000000,77.86000000,71.81000000,73.69000000,280028.83653000,20950287.71967360,54351
1608336000000,2020-12-19 00:00:00,ZEC/USDT,73.89000000,76.16000000,73.01000000,73.50000000,146959.07306000,10965276.76981180,31339
1608249600000,2020-12-18 00:00:00,ZEC/USDT,74.32000000,76.44000000,71.66000000,73.89000000,165083.77213000,12227580.90764440,35937
1608163200000,2020-12-17 00:00:00,ZEC/USDT,73.18000000,77.99000000,72.24000000,74.28000000,303384.96125000,22679207.37692530,63950
1608076800000,2020-12-16 00:00:00,ZEC/USDT,67.64000000,73.28000000,66.86000000,73.21000000,189107.82376000,13295140.37640100,40213
1607990400000,2020-12-15 00:00:00,ZEC/USDT,68.04000000,69.15000000,66.37000000,67.63000000,100021.70943000,6780868.63761600,26436
1607904000000,2020-12-14 00:00:00,ZEC/USDT,68.20000000,68.65000000,66.27000000,68.00000000,105432.69447000,7114111.06618060,23684
1607817600000,2020-12-13 00:00:00,ZEC/USDT,66.03000000,69.43000000,65.20000000,68.25000000,148763.22673000,10096635.89935810,32094
